codigo_mes;ano;mes;codigo_de_ca;comunidad_autonoma;codigo_provincia;provincia;codigo_municipio;municipio;paro_hombre_edad_25;paro_hombre_edad_25_45;paro_hombre_edad_45;paro_mujer_edad_25;paro_mujer_edad_25_45;paro_mujer_edad_45;paro_agricultura;paro_industria;paro_construccion;paro_servicios;paro_sin_empleo_anterior;total_paro
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12080;Morella;8;35;35;5;36;20;8;10;25;95;1;139
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12082;Nules;78;355;191;63;288;122;122;109;137;696;33;1097
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12083;Olocau,del,Rey;0;1;2;1;1;1;1;0;3;2;0;6
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12084;Onda;211;992;571;177;1025;476;123;975;462;1702;190;3452
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12087;Palanques;0;0;0;0;2;1;0;0;0;3;0;3
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12089;Peníscola/Peñíscola;38;189;133;32;201;103;26;37;85;511;37;696
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12091;Portell,de,Morella;0;0;4;2;1;1;0;2;0;6;0;8
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12092;Puebla,de,Arenoso;2;3;1;0;1;0;0;1;0;6;0;7
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12095;Ribesalbes;9;40;39;7;53;41;5;58;14;104;8;189
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12101;San,Rafael,del,Río;3;11;13;1;13;10;2;12;2;32;3;51
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12102;Santa,Magdalena,de,Pulpis;3;21;15;5;27;5;14;7;14;36;5;76
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12106;Soneja;7;40;33;6;47;29;15;23;22;89;13;162
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12107;Sot,de,Ferrer;2;13;7;1;13;5;12;5;3;19;2;41
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12109;Tales;6;38;19;5;37;8;1;28;15;66;3;113
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12110;Teresa;3;5;6;0;1;0;9;0;3;3;0;15
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12112;Todolella;4;1;1;1;2;1;1;0;1;7;1;10
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12116;Torralba,del,Pinar;0;1;1;0;2;1;0;0;1;4;0;5
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12118;Torrechiva;6;8;2;0;1;2;5;2;0;12;0;19
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12119;Torre,d'En,Besora,,la;0;3;2;2;1;0;1;1;1;4;1;8
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12123;Vallat;0;1;2;1;1;0;0;1;0;4;0;5
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12124;Vall,d'Alba;16;82;59;13;65;33;24;78;55;93;18;268
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12126;Vall,d'Uixó,,la;316;1151;866;276;952;593;250;531;881;2298;194;4154
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12127;Vallibona;0;1;3;1;1;0;3;0;1;2;0;6
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12130;Villahermosa,del,Río;0;5;6;1;1;3;1;3;6;6;0;16
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12138;Vinaròs;159;829;593;150;814;443;183;368;506;1818;113;2988
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12141;Zorita,del,Maestrazgo;1;1;1;1;1;2;1;1;1;4;0;7
201203;2012;Marzo;10;Comunitat,Valenciana;12;Castellón/Castelló;12902;Sant,Joan,de,Moró;21;103;71;15;126;54;12;109;53;179;37;390
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12001;Atzeneta,del,Maestrat;6;25;22;1;19;12;15;22;13;32;3;85
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12002;Aín;0;5;4;0;1;0;7;0;0;3;0;10
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12015;Argelita;1;5;3;0;3;1;5;3;1;4;0;13
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12018;Azuébar;3;9;9;0;7;5;6;9;5;13;0;33
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12024;Benafer;2;7;8;0;6;6;8;2;6;13;0;29
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12025;Benafigos;0;1;4;0;0;2;4;1;1;1;0;7
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12033;Cabanes;12;85;61;14;85;31;21;57;50;137;23;288
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12040;Castellón,de,la,Plana/Castelló,de,la,Plana;1187;6125;3963;953;5680;3227;460;3138;4122;11951;1464;21135
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12045;Cinctorres;2;10;5;1;3;7;5;2;7;14;0;28
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12049;Costur;3;16;15;1;16;3;3;21;8;19;3;54
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12050;Coves,de,Vinromà,,les;3;59;31;7;38;20;20;38;43;47;10;158
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12051;Culla;0;5;5;5;4;1;1;2;3;12;2;20
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12053;Chilches/Xilxes;30;91;57;15;60;35;41;20;46;166;15;288
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12055;Chodos/Xodos;2;4;0;0;2;0;2;2;1;3;0;8
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12057;Eslida;11;18;15;4;24;8;14;10;8;44;4;80
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12058;Espadilla;1;1;1;1;2;1;2;0;0;5;0;7
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12059;Fanzara;5;10;6;2;6;6;8;3;0;24;0;35
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12073;Ludiente;0;5;3;2;4;0;3;0;1;10;0;14
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12074;Llosa,,la;9;28;15;11;26;4;23;7;9;53;1;93
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12075;Mata,de,Morella,,la;1;2;0;0;3;4;1;0;5;4;0;10
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12080;Morella;8;34;39;5;33;17;8;8;23;96;1;136
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12081;Navajas;3;24;22;7;25;19;2;8;19;66;5;100
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12082;Nules;80;362;198;72;294;126;125;108;145;722;32;1132
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12083;Olocau,del,Rey;0;1;3;1;1;1;1;0;3;3;0;7
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12085;Oropesa,del,Mar/Orpesa;65;394;270;35;302;137;47;61;328;699;68;1203
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12087;Palanques;0;0;0;0;2;1;0;0;0;3;0;3
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12089;Peníscola/Peñíscola;29;151;126;31;163;93;23;25;78;433;34;593
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12100;Sant,Mateu;2;69;31;5;49;23;10;53;27;79;10;179
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12103;Sarratella;0;1;1;0;3;1;2;2;0;2;0;6
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12104;Segorbe;54;242;147;49;259;144;36;169;126;512;52;895
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12107;Sot,de,Ferrer;2;12;7;1;15;5;11;5;3;21;2;42
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12108;Sueras/Suera;2;23;11;7;18;9;0;9;13;46;2;70
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12109;Tales;5;31;24;3;40;10;1;28;16;65;3;113
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12111;Tírig;1;5;7;0;5;2;2;4;4;10;0;20
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12112;Todolella;4;1;1;1;2;2;1;2;1;6;1;11
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12116;Torralba,del,Pinar;1;1;0;0;2;1;0;0;0;5;0;5
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12119;Torre,d'En,Besora,,la;0;3;2;2;1;0;1;1;1;4;1;8
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12125;Vall,de,Almonacid;2;8;6;5;7;1;3;2;5;18;1;29
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12131;Villamalur;0;1;2;0;2;1;0;0;0;6;0;6
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12135;Vila-real;422;1715;1113;327;1797;962;204;1411;892;3201;628;6336
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12138;Vinaròs;156;863;600;148;783;451;186;360;520;1820;115;3001
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12139;Vistabella,del,Maestrazgo;0;12;10;2;7;4;13;2;4;11;5;35
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12140;Viver;7;47;36;8;36;31;20;16;45;77;7;165
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12141;Zorita,del,Maestrazgo;3;1;1;1;1;1;2;1;1;4;0;8
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12142;Zucaina;1;1;0;0;1;0;0;0;0;3;0;3
201204;2012;Abril;10;Comunitat,Valenciana;12;Castellón/Castelló;12902;Sant,Joan,de,Moró;22;96;75;17;120;57;13;114;48;173;39;387
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12002;Aín;0;5;3;1;1;0;5;0;0;5;0;10
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12003;Albocàsser;5;30;16;6;20;9;6;10;19;42;9;86
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12005;Alcora,,l';74;294;210;76;390;218;40;501;142;501;78;1262
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12007;Alfondeguilla;9;23;22;5;14;15;14;13;23;36;2;88
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12015;Argelita;2;5;3;0;3;1;5;4;1;4;0;14
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12021;Betxí;32;127;102;22;173;92;53;92;46;332;25;548
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12024;Benafer;2;7;6;1;6;5;7;1;6;13;0;27
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12029;Benlloch;8;45;23;7;21;13;15;17;23;50;12;117
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12033;Cabanes;10;85;64;16;78;29;23;55;49;131;24;282
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12038;Castellfort;2;2;0;2;4;0;0;1;2;4;3;10
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12045;Cinctorres;2;11;5;1;3;7;6;2;7;14;0;29
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12046;Cirat;0;11;3;0;1;3;6;0;3;9;0;18
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12048;Cortes,de,Arenoso;4;9;2;0;11;1;4;5;4;13;1;27
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12049;Costur;3;18;13;1;18;3;3;19;9;22;3;56
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12058;Espadilla;1;1;1;1;3;1;2;0;0;6;0;8
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12059;Fanzara;5;10;6;1;5;5;6;4;0;22;0;32
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12067;Geldo;2;32;25;1;17;14;6;22;17;43;3;91
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12068;Herbés;1;1;0;0;0;0;0;0;0;2;0;2
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12071;Jérica;9;47;35;11;31;14;11;18;33;78;7;147
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12074;Llosa,,la;11;29;15;11;29;6;22;6;10;62;1;101
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12077;Moncofa;26;164;95;27;150;54;59;43;81;323;10;516
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12081;Navajas;3;23;21;8;24;19;3;8;19;64;4;98
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12088;Pavías;1;2;2;0;1;0;5;0;0;1;0;6
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12090;Pina,de,Montalgrao;1;3;3;0;1;3;3;2;1;4;1;11
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12093;Pobla,de,Benifassà,,la;2;9;4;1;4;5;10;1;6;7;1;25
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12096;Rossell;2;26;31;4;27;26;6;48;18;43;1;116
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12104;Segorbe;51;237;149;48;248;149;37;167;128;499;51;882
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12110;Teresa;5;5;7;0;0;0;9;0;4;3;1;17
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12118;Torrechiva;5;8;2;0;1;2;5;2;0;11;0;18
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12121;Traiguera;3;41;28;3;24;18;17;21;33;39;7;117
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12124;Vall,d'Alba;12;76;60;10;68;32;20;70;57;96;15;258
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12126;Vall,d'Uixó,,la;322;1154;901;269;982;632;249;566;892;2354;199;4260
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12127;Vallibona;0;0;4;1;1;0;2;0;1;3;0;6
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12129;Villafranca,del,Cid/Vilafranca;9;32;20;13;32;35;14;42;23;45;17;141
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12131;Villamalur;0;0;2;0;2;1;0;0;0;5;0;5
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12132;Vilanova,d'Alcolea;1;13;6;1;11;4;2;7;5;21;1;36
201205;2012;Mayo;10;Comunitat,Valenciana;12;Castellón/Castelló;12136;Vilavella,,la;13;44;32;20;62;14;22;23;23;110;7;185
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12006;Alcudia,de,Veo;4;9;7;1;8;5;4;3;4;23;0;34
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12011;Almenara;39;146;110;37;125;56;27;42;67;360;17;513
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12012;Altura;31;142;77;23;107;52;21;72;99;213;27;432
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12015;Argelita;2;5;3;0;3;1;5;4;1;4;0;14
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12016;Artana;20;40;40;10;47;18;33;12;20;102;8;175
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12022;Bejís;1;3;3;0;2;2;1;0;2;7;1;11
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12024;Benafer;2;7;7;1;6;5;8;1;5;14;0;28
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12025;Benafigos;1;2;4;0;0;2;3;1;1;4;0;9
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12033;Cabanes;9;87;67;15;73;29;20;49;51;133;27;280
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12037;Castell,de,Cabres;0;0;0;0;0;0;0;0;0;0;0;0
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12039;Castellnovo;5;27;26;2;17;18;8;22;19;46;0;95
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12048;Cortes,de,Arenoso;4;8;2;0;11;1;4;5;4;12;1;26
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12055;Chodos/Xodos;2;1;0;0;1;0;1;0;1;2;0;4
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12057;Eslida;8;16;16;3;26;5;10;9;10;41;4;74
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12060;Figueroles;3;13;13;5;17;18;5;22;2;36;4;69
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12065;Gaibiel;1;3;3;0;1;1;0;0;1;8;0;9
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12067;Geldo;3;29;25;2;16;15;6;19;16;46;3;90
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12069;Higueras;1;2;1;0;0;0;3;1;0;0;0;4
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12072;Lucena,del,Cid;6;34;35;5;44;15;2;57;20;52;8;139
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12076;Matet;0;4;9;1;2;3;0;5;0;14;0;19
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12080;Morella;8;30;35;5;35;15;7;10;23;87;1;128
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12081;Navajas;3;23;22;8;26;17;2;8;16;69;4;99
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12083;Olocau,del,Rey;0;1;3;0;1;1;1;0;3;2;0;6
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12085;Oropesa,del,Mar/Orpesa;46;347;249;21;262;135;42;67;307;578;66;1060
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12093;Pobla,de,Benifassà,,la;1;9;4;1;4;5;9;1;6;8;0;24
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12094;Pobla,Tornesa,,la;4;35;23;5;35;6;3;23;19;57;6;108
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12095;Ribesalbes;8;35;36;8;49;41;5;58;10;94;10;177
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12102;Santa,Magdalena,de,Pulpis;4;23;13;3;28;5;14;9;12;38;3;76
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12106;Soneja;13;34;36;9;48;27;12;25;25;90;15;167
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12108;Sueras/Suera;4;19;11;4;17;9;0;9;11;42;2;64
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12109;Tales;6;30;25;7;37;13;4;26;15;70;3;118
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12110;Teresa;4;6;7;0;0;0;7;0;4;5;1;17
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12111;Tírig;1;5;8;0;6;2;2;4;5;11;0;22
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12116;Torralba,del,Pinar;1;1;0;0;2;2;0;0;0;6;0;6
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12120;Torre,d'en,Doménec,,la;2;5;1;0;3;1;3;4;0;4;1;12
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12123;Vallat;0;0;2;0;1;0;0;1;0;2;0;3
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12124;Vall,d'Alba;10;74;62;9;67;36;22;66;57;101;12;258
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12126;Vall,d'Uixó,,la;324;1131;883;255;963;641;272;558;878;2302;187;4197
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12130;Villahermosa,del,Río;0;2;6;0;1;3;1;4;3;4;0;12
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12131;Villamalur;0;0;2;0;2;1;0;0;0;5;0;5
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12135;Vila-real;406;1656;1136;305;1865;990;225;1405;895;3250;583;6358
201206;2012;Junio;10;Comunitat,Valenciana;12;Castellón/Castelló;12139;Vistabella,del,Maestrazgo;0;12;9;2;6;3;10;2;3;12;5;32
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12005;Alcora,,l';67;250;209;55;384;232;41;460;128;503;65;1197
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12010;Almedíjar;1;4;3;0;4;7;0;3;3;13;0;19
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12012;Altura;35;139;78;22;111;50;21;73;99;214;28;435
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12014;Ares,del,Maestrat;1;6;2;1;1;1;2;2;3;5;0;12
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12015;Argelita;2;5;2;0;3;1;4;4;1;4;0;13
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12017;Ayódar;1;4;5;0;6;3;4;4;2;7;2;19
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12021;Betxí;28;116;95;19;173;84;53;75;44;320;23;515
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12024;Benafer;2;6;6;1;4;4;7;1;4;11;0;23
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12027;Benicarló;124;685;548;101;594;395;191;382;363;1362;149;2447
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12028;Benicasim/Benicàssim;28;315;249;25;295;231;29;184;156;738;36;1143
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12045;Cinctorres;2;9;7;1;2;7;5;1;8;14;0;28
201207;2012;Julio;10;Comunitat,Valenciana;12;Castellón/Castelló;12046;Cirat;0;8;5;0;1;4;3;0;4;11;0;18
